device,dev_type,parameter,published,fd_alone,surrogate_raw,surrogate_paired_fd,surrogate_fd,fd_alone_percent_of_published,surrogate_raw_percent_of_published,surrogate_paired_fd_percent_of_published,surrogate_fd_percent_of_published,surrogate_paired_polish_delta_percent_of_published,surrogate_production_delta_percent_of_published
nmos_L0p25_W1p6,nmos,vth0,0.737649,0.737649,0.7543861534492506,0.753973807840902,0.7538741880929337,0.0,2.268986123379906,2.213086148141183,2.1995811141794697,-0.05589997523872267,-0.06940500920043592
nmos_L0p25_W1p6,nmos,u0,0.10598,0.10598,0.11525812827398671,0.1152676174875152,0.11518466730312013,0.0,8.754603013763639,8.763556791390066,8.685287132591174,0.0089537776264276,-0.06931588117246555
nmos_L0p25_W1p6,nmos,nfactor,8.76599,8.76599,9.203822192006015,9.203013810448596,9.107474321118426,0.0,4.9946690790887835,4.985447284888475,3.8955590996387803,-0.009221794200308003,-1.0991099794500032
nmos_L0p25_W1p6,nmos,vsat,152198.0,152198.0,146793.3049461436,147919.19213069932,148429.3026860988,0.0,-3.5510946621219808,-2.8113430329575175,-2.476180576552393,0.7397516291644631,1.0749140855695876
nmos_L0p25_W1p6,nmos,delta,0.0577825,0.0577825,0.0521645531923844,0.05216412833631665,0.05214834534222135,0.0,-9.722574841198629,-9.7233101089142,-9.750624597029644,-0.0007352677155718061,-0.0280497558310133
nmos_L0p25_W1p6,nmos,rdsw,158.481,158.481,143.61025598179893,143.602628585858,143.07739430728054,0.0,-9.383297693856719,-9.388110507973813,-9.719528330032908,-0.004812814117096052,-0.33623063617618926
nmos_L0p25_W1p6,nmos,eta0,-0.290082,-0.290082,-0.28961201237162404,-0.28961201237440487,-0.29632491267002664,0.0,0.1620188872029176,0.16201888624428137,-2.152119976429642,-9.58636220423832e-10,-2.31413886363256
nmos_L1_W1p6,nmos,vth0,0.562261,0.562261,0.5967660007885421,0.5957327090373705,0.5957327090373705,0.0,6.136829833216625,5.953055438198721,5.953055438198721,-0.1837743950179039,-0.1837743950179039
nmos_L1_W1p6,nmos,u0,0.219802,0.219802,0.2367310718992987,0.23831870242450626,0.23831870242450626,0.0,7.701964449503967,8.424264758512779,8.424264758512779,0.7223003090088128,0.7223003090088128
nmos_L1_W1p6,nmos,nfactor,4.43269,4.43269,4.126563374519445,4.125990172649632,4.125990172649632,0.0,-6.906114018362557,-6.919045260335548,-6.919045260335548,-0.012931241972991083,-0.012931241972991083
nmos_L1_W1p6,nmos,vsat,38156.2,38156.2,41056.703737682634,41387.03791484271,41387.03791484271,0.0,7.601657758588741,8.467399570299747,8.467399570299747,0.8657418117110073,0.8657418117110073
nmos_L1_W1p6,nmos,delta,0.08,0.08,0.07213481407438475,0.07213087057203241,0.07213087057203241,0.0,-9.83148240701906,-9.836411784959493,-9.836411784959493,-0.004929377940433161,-0.004929377940433161
nmos_L1_W1p6,nmos,rdsw,244.614,244.614,226.17809587024755,224.77821686501701,224.77821686501701,0.0,-7.536733028261856,-8.109013848341872,-8.109013848341872,-0.5722808200800162,-0.5722808200800162
nmos_L1_W1p6,nmos,eta0,0.00056492,0.00056492,0.0005660822269620969,0.0005660822269620969,0.0005660822269620969,0.0,0.20573301743554412,0.20573301743554412,0.20573301743554412,0.0,0.0
nmos_L1_W3,nmos,vth0,0.572584,0.572584,0.6206587480636843,0.6112557779959179,0.6122984064060384,0.0,8.396103988879236,6.753904753873305,6.935996536060806,-1.642199235005931,-1.4601074528184295
nmos_L1_W3,nmos,u0,0.293366,0.293366,0.3163069274512541,0.3223697159976069,0.3226968491894384,0.0,7.819899869532969,9.886529453858618,9.998039714703953,2.0666295843256486,2.178139845170985
nmos_L1_W3,nmos,nfactor,7.73808,7.73808,8.49178815358896,8.490369060417612,6.964279223099097,0.0,9.740247627175732,9.72190854084749,-9.999906655150932,-0.01833908632823971,-19.740154282326664
nmos_L1_W3,nmos,vsat,-3.37936,-3.37936,-3.183518293866973,-3.1830161907630483,-3.1477013969872165,0.0,5.795230639323046,5.81008857407769,6.855102830499965,0.014857934754643235,1.0598721911769184
nmos_L1_W3,nmos,delta,0.05,0.05,0.04892636927587479,0.04511472687787151,0.04500184272328169,0.0,-2.14726144825042,-9.77054624425698,-9.996314553436623,-7.623284796006559,-7.849053105186201
nmos_L1_W3,nmos,rdsw,288.238,288.238,317.04246786981895,317.04186832860387,259.5946426953685,0.0,9.99329299739068,9.993084995248324,-9.937398019911143,-0.00020800214235492537,-19.93069101730182
nmos_L1_W3,nmos,eta0,0.00401684,0.00401684,0.0043967572471427675,0.0043967572471427675,0.004397999891878238,0.0,9.458112524839617,9.458112524839617,9.489048403178561,0.0,0.030935878338946295
nmos_L8_W1p6,nmos,vth0,0.560268,0.560268,0.6042477922011673,0.604635505379289,0.604635505379289,0.0,7.849777642336761,7.918979020627452,7.918979020627452,0.06920137829069228,0.06920137829069228
nmos_L8_W1p6,nmos,u0,0.228212,0.228212,0.2425924009439493,0.2425931761555266,0.2425931761555266,0.0,6.301334261103403,6.301673950329787,6.301673950329787,0.0003396892263858318,0.0003396892263858318
nmos_L8_W1p6,nmos,nfactor,4.07823,4.07823,3.874698085072631,3.8752761669001874,3.8752761669001874,0.0,-4.99069240644516,-4.976517584829993,-4.976517584829993,0.014174821615167704,0.014174821615167704
nmos_L8_W1p6,nmos,vsat,39652.5,39652.5,42727.073854732174,43030.65596218755,43030.65596218755,0.0,7.753795737298215,8.51940221218725,8.51940221218725,0.7656064748890362,0.7656064748890362
nmos_L8_W1p6,nmos,delta,0.15,0.15,0.13504541947455245,0.13504360693350465,0.13504360693350465,0.0,-9.969720350298362,-9.9709287109969,-9.9709287109969,-0.0012083606985383948,-0.0012083606985383948
nmos_L8_W1p6,nmos,rdsw,0.103858,0.103858,0.098970896695177,0.09897068420758333,0.09897068420758333,0.0,-4.705562696010903,-4.705767290354789,-4.705767290354789,-0.00020459434388608015,-0.00020459434388608015
nmos_L8_W1p6,nmos,eta0,0.08,0.08,0.07998258940830347,0.07998258940830347,0.07998258940830347,0.0,-0.02176323962066809,-0.02176323962066809,-0.02176323962066809,0.0,0.0
nmos_L20_W0p64,nmos,vth0,0.449844,0.449844,0.4747733161900407,0.4712634569484866,0.4712634569484866,0.0,5.541769188883409,4.761529985614251,4.761529985614251,-0.7802392032691586,-0.7802392032691586
